"geo_id","year","nights","population","nights_per_1000pop","ln_nights_per_1000pop","gdp_pc","ln_gdp_pc","pop_density","ln_pop_density","comp_employees","wage_per_capita","ln_wage_per_capita","tertiary_edu","coast","area_km2","unesco_count"
"DEA5",2020,5148180,3580568,1437.81098417905,7.27087708609428,36300,10.4995730202529,449.1,6.10724558009369,74930.63,0.0209270233102681,-3.86671397383938,25.5,0,8004.14539329033,0
"DEA5",2021,5094058,3571053,1426.48624929398,7.26296953113564,38600,10.5610075554529,448.4,6.105685691198,77493.66,0.0217005068252977,-3.83041966270397,26.7,0,8004.14539329033,0
"DEA5",2022,8049143,3565239,2257.67276751993,7.72208981282571,41200,10.6261935353376,447.4,6.10345304905603,81257.24,0.0227915267391611,-3.78136644634218,26.4,0,8004.14539329033,0
"DEA5",2023,8860961,3570099,2481.99307638248,7.81681717622902,42900,10.6666271049161,447.9,6.10456999321325,86336.48,0.0241832173281469,-3.72209638523795,27.3,0,8004.14539329033,0
"DEB1",2017,8146320,1492187,5459.31575600109,8.6050787414721,33400,10.4163111789648,186.1,5.2262841636482,25728.88,0.0172423965628973,-4.06038401163885,24.3,0,8123.66650516227,2
"DEB1",2018,8142484,1493055,5453.57270830612,8.60402621569142,34200,10.4399809230507,186.4,5.22789490225149,26904.9,0.0180200327516401,-4.0162712092875,25.5,0,8123.66650516227,2
"DEB1",2019,8295298,1495885,5545.41157909866,8.62072612229567,35300,10.4716382429214,186.7,5.22950305054768,28087.99,0.0187768377916752,-3.97513120107975,26.4,0,8123.66650516227,2
"DEB1",2020,5443057,1498223,3633.00857082023,8.1978163913762,35200,10.4688013615862,186.7,5.22950305054768,28127.56,0.0187739475365149,-3.97528513954685,27.3,0,8123.66650516227,2
"DEB1",2021,4824116,1500830,3214.29875468907,8.07536449614335,36600,10.5078035193895,187,5.23110861685459,29115.86,0.0193998387558884,-3.94249052449954,27.2,0,8123.66650516227,2
"DEB1",2022,7356772,1503189,4894.10978925471,8.49578767719086,39600,10.5865843972426,188.7,5.2401584523745,30952.44,0.0205911831446345,-3.88289229749354,26.2,0,8123.66650516227,2
"DEB1",2023,7770654,1522385,5104.26337621561,8.53783142561641,41900,10.6430411059102,190.2,5.24807615011129,33031.59,0.0216972644896002,-3.83056908676909,27.6,0,8123.66650516227,2
"DEB2",2017,5794226,528728,10958.8030140261,9.301898340489,31100,10.3449630981673,107.9,4.68120487226409,8437.75,0.0159585836195549,-4.13775843654053,27.5,0,4807.85897717223,1
"DEB2",2018,6005613,529597,11339.9679378848,9.33608874993073,32100,10.3766113091181,108.2,4.68398136641238,8782.69,0.0165837230951082,-4.09933360109924,28.4,0,4807.85897717223,1
"DEB2",2019,6080534,531007,11450.948857548,9.34582787520373,33300,10.4133126759685,108.5,4.68675017298051,9095.68,0.0171291150587469,-4.06697562829889,29.4,0,4807.85897717223,1
"DEB2",2020,4259216,533113,7989.3305922009,8.98586225454976,33100,10.4072885613652,108.5,4.68675017298051,9140.36,0.0171452581347669,-4.06603363720119,31.6,0,4807.85897717223,1
"DEB2",2021,3808288,534438,7125.78072666988,8.87147457480684,33800,10.4282160814711,108.9,4.69043002993891,9403.63,0.0175953618567542,-4.04011994253463,28.9,0,4807.85897717223,1
"DEB2",2022,5874451,536772,10944.0339660042,9.30054974347632,36600,10.5078035193895,108.3,4.68490515400694,9886.95,0.0184192729874137,-3.99435771758678,29.9,0,4807.85897717223,1
"DEB2",2023,6042275,524876,11511.8142189774,9.35112911040514,38600,10.5610075554529,107.3,4.67562864963665,10498,0.0200009145017109,-3.91197728138796,29.2,0,4807.85897717223,1
"DEB3",2017,5484928,2045138,2681.93539995834,7.8942939770334,38000,10.5453414387085,301.4,5.7084382861924,38736.38,0.0189407169589534,-3.96644133771925,27.1,0,6919.73560431927,2
"DEB3",2018,5686119,2051027,2772.32771679749,7.92744257727481,38400,10.5558127385758,302.4,5.71175064430538,40571.12,0.0197808805052298,-3.92303943885266,28.5,0,6919.73560431927,2
"DEB3",2019,5932032,2057952,2882.49288613145,7.96641078418924,39400,10.581521095286,303.2,5.71439265376822,42200.08,0.0205058621386699,-3.88704447573207,30.1,0,6919.73560431927,2
"DEB3",2020,3791973,2062567,1838.47264113117,7.51669041954884,38200,10.5505907945947,303.2,5.71439265376822,41994.17,0.020360148300637,-3.89417580340507,32.7,0,6919.73560431927,2
"DEB3",2021,3743192,2063123,1814.33293119218,7.50347314811928,46900,10.7557729544344,303.6,5.71571104552148,43355.78,0.0210146365485722,-3.86253610553199,31.8,0,6919.73560431927,2
"DEB3",2022,5690425,2066524,2753.62154032569,7.92067224803188,48500,10.7893190769256,303.7,5.7160403720517,47063.2,0.0227740882757713,-3.78213186843669,32.5,0,6919.73560431927,2
"DEB3",2023,6054621,2061294,2937.2913325319,7.98524312019543,47300,10.76426557448,304.1,5.71735659468332,49098.26,0.0238191446732004,-3.73726562362578,33.8,0,6919.73560431927,2
"DEC0",2017,2255042,996651,2262.61951274819,7.7242784974931,36100,10.494048144321,388.1,5.96126303837486,19856.24,0.0199229619997371,-3.91588234311374,23,0,2511.12830700474,1
"DEC0",2018,2313198,994187,2326.72324220695,7.75221622292747,36600,10.5078035193895,386.9,5.95816626170647,20706.84,0.0208279126562709,-3.87146123726283,24.5,0,2511.12830700474,1
